ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (February 2019)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
,07,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3
,08,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3
,09,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4
,10,4,3,3,4,4,4,4,4,3,4,4,4,3,4,4,4
,11,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4
,12,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,15,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,16,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
,17,5,5,4,4,4,4,5,4,4,4,4,4,4,5,5,5
,18,5,5,4,4,4,4,5,4,4,4,4,4,5,6,5,5
,19,5,4,4,4,4,4,5,4,4,4,5,5,5,6,5,5
,20,5,4,4,4,4,4,5,4,4,4,5,5,4,5,5,5
,21,5,4,4,5,4,4,5,4,4,4,5,5,4,5,5,5
,22,4,4,4,5,4,4,4,4,4,4,4,5,4,5,5,5
,23,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,24,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,Daily Max,5,5,4,5,4,4,5,4,4,4,5,5,5,6,5,5
2019-02-03,01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,02,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,03,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4
,04,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4
,05,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4
,06,4,4,4,4,3,3,4,3,3,3,4,4,3,4,4,4
,07,4,4,4,4,3,3,4,3,3,3,4,4,3,4,4,4
,08,4,4,4,4,3,3,4,3,3,3,4,4,2,4,4,4
,09,4,4,4,4,3,3,4,3,3,3,4,4,3,4,4,4
,10,4,4,4,4,3,4,4,3,3,3,4,4,3,4,4,4
,11,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4
,12,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,13,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,
,19,,,,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,,
,21,,,,,,,,,,,,,,,,
,22,,,,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,,,
,24,,,,,,,,,,,,,,,,
,Daily Max,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
